Issuer/Borrower Name;"Nation
Region
Description";Matched Region
Coast To Coast Motors LLC;"Americas
North America";North America
China Oil & Gas Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Huayou (Hong Kong) Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Pelican Products Inc;"Americas
North America";North America
Kestra Financial Inc;"Americas
North America";North America
Metronet Holdings LLC;"Americas
North America";North America
Rokko Butter Co Ltd;Japan;Asia
Pollard Holdings LP;"Americas
North America";North America
All Hearts Co Inc;Japan;Asia
Foundation Bldg Materials LLC;"Americas
North America";North America
Pure Fishing Inc;"Americas
North America";North America
Reinalt-Thomas Corp;"Americas
North America";North America
Energizer Holdings Inc;"Americas
North America";North America
Creative Planning LLC;"Americas
North America";North America
TBD Office Portfolio;"Americas
North America";North America
Tinicum Voltage Intermediate;"Americas
North America";North America
Mariani;"Americas
North America";North America
Qps Hldg Inc;"Americas
North America";North America
Hawkins Press Investors JV LLC;"Americas
North America";North America
USHAN Brighton Property Owner;"Americas
North America";North America
NP Oakley Building V LLC;"Americas
North America";North America
First Street Owner LLC;"Americas
North America";North America
HON HQ Title Holder LLC;"Americas
North America";North America
LVA5 Redmond Grand LLC;"Americas
North America";North America
LM DV Infrastructure LLC;"Americas
North America";North America
Rodin Global Ppty Tr Inc;"Americas
North America";North America
Travel Nurse Across America;"Americas
North America";North America
Nouria Energy Corp;"Americas
North America";North America
Diesel Direct Holding Co;"Americas
North America";North America
Reich & Tang(New England);"Americas
North America";North America
Waterway Gas & Carwash;"Americas
North America";North America
Astoria Energy II LLC;"Americas
North America";North America
CQ Holding Co Inc;"Americas
North America";North America
ABTB Mid-Atlantic LLC;"Americas
North America";North America
Little World Beverages Inc;"Americas
North America";North America
557 Highland LLC;"Americas
North America";North America
QuantiTech LLC;"Americas
North America";North America
PSPIB South Bell II LLC;"Americas
North America";North America
Essex Portfolio LP;"Americas
North America";North America
Barudan Co Ltd;Japan;Asia
Portland Columbia Industrial;"Americas
North America";North America
SPH Group Holdings LLC;"Americas
North America";North America
Mega Broadband Invests Llc;"Americas
North America";North America
SIP Holdco LLC;"Americas
North America";North America
Oxford Fin Funding X Llc;"Americas
North America";North America
Accuride Corp;"Americas
North America";North America
Akita Prefecture;Japan;Asia
Superior Food Group Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Kyowa Manufacturing Co Ltd;Japan;Asia
DESRI Springbok 2 Financing;"Americas
North America";North America
Ubeo Llc;"Americas
North America";North America
CMOC Brasil Mineracao;"Americas
South America";Latin America
Snow Peak Inc;Japan;Asia
Chess.com LLC;"Americas
North America";North America
Hangzhou Runting Coml Re Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Huzhou Zhushengyuan Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Aperture Cos LLC;"Americas
North America";North America
Strike Group Inc;"Americas
North America";North America
Bonaccord Capital Partners II;"Americas
North America";North America
Bengbu Dachan Food Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Guangzhou China Star;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Yamada Sangyo Co Ltd;Japan;Asia
Marcone Yellowstone Buyer Inc;"Americas
North America";North America
Hines European Value Fund 2;"Europe
Western Europe";Western Europe
Silver Rehabilitation Society;Japan;Asia
GDI Integrated Facility Svcs;"Americas
North America";North America
Tribute Technology Hldg LLC;"Americas
North America";North America
Jianhu Cnty Dvlp Zone Constr;"Asia-Pacific (ex Central Asia)
North Asia";Asia
P1 Dental Mso Llc;"Americas
North America";North America
Broadleaf Co Ltd;Japan;Asia
Olym Lp;"Americas
North America";North America
Spotview Development Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Chinyi Eggs Technology Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Chailease Int'l Finance Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Victory Capital Management Inc;"Americas
North America";North America
Firebird Energy LLC;"Americas
North America";North America
Cast & Crew Entertainment;"Americas
North America";North America
Fairbks Morse Llc;"Americas
North America";North America
Shin Shin Co Ltd;Japan;Asia
Ho-Tu Inc;Japan;Asia
China ZhengTong Auto Svcs;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Mon Cher Co Ltd;Japan;Asia
UACJ Corp;Japan;Asia
Rasa Industries Ltd;Japan;Asia
Tokai Tokyo Securities Co Ltd;Japan;Asia
Ascend Performance Materials;"Americas
North America";North America
CCRR Parent Inc;"Americas
North America";North America
Axium Packaging LLC;"Americas
North America";North America
Romco Inc;"Americas
North America";North America
LAZ Karp Associates Inc;"Americas
North America";North America
Hudsonville Creamery & Ice;"Americas
North America";North America
Viavi Solutions Inc;"Americas
North America";North America
sPower DevCo Warehouse Borrowe;"Americas
North America";North America
Nagashima Pkg Co Ltd;Japan;Asia
Mizuno Sangyo Co Ltd;Japan;Asia
ALC Co Ltd;Japan;Asia
Aciturri Aeronautica SL;"Europe
Western Europe";Western Europe
Alpen Co Ltd;Japan;Asia
Bollinger Industries Inc;"Americas
North America";North America
Gyokkodo Inc;Japan;Asia
Syntegon Gmbh;"Europe
Western Europe";Western Europe
Heidelberg Distributing Co;"Americas
North America";North America
Daiken Corp;Japan;Asia
EIS Inc;"Americas
North America";North America
Tsukasa Kigyou Co Ltd;Japan;Asia
Kokusai Express Co Ltd;Japan;Asia
APA Holdings;Japan;Asia
Enea Solar Pv;"Europe
Western Europe";Western Europe
CC&L Java Solar USA LLC;"Americas
North America";North America
Ghana, Ministry of Finance of;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Thrive Buyer Inc;"Americas
North America";North America
Tallin Invests Slu;"Europe
Western Europe";Western Europe
Tremolo Energy LLC;"Americas
North America";North America
Urban Fund II LP;"Americas
North America";North America
MSRDC Infrastructure Projects;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Qingdao Luze Re Grp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jinhua Zhengmao Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Wilmar LLC;"Americas
North America";North America
SIP Care Services LLC;"Americas
North America";North America
Kelso & Co LP;"Americas
North America";North America
Kinan Co Ltd;Japan;Asia
Hayashi Kazoku;Japan;Asia
Kumamoto Nishiki Green Power;Japan;Asia
Hisamatsu Sangyo Co Ltd;Japan;Asia
Sur-Seal LLC;"Americas
North America";North America
ITG Communications LLC;"Americas
North America";North America
Ohtori Corp;Japan;Asia
Nippo Building Co Ltd;Japan;Asia
Numaligarh Refinery Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Pacific Golf Management KK;Japan;Asia
Japan Create Group Ltd;Japan;Asia
Raito Kogyo Co Ltd;Japan;Asia
Republic of Turkmenistan;"Africa/Middle East/Central Asia
Central Asia";Africa
SGA Dental Partners OPCO LLC;"Americas
North America";North America
Termosol Spanish HoldCo SL;"Europe
Western Europe";Western Europe
Shiono Chemical Co Ltd;Japan;Asia
Sunrise Industry Co Ltd;Japan;Asia
Sumitomo Electric Industries;Japan;Asia
Towa Refractory Engineering;Japan;Asia
Renovalia Pv Brownfield Sl;"Europe
Western Europe";Western Europe
Manabe Interior Hearts Co Ltd;Japan;Asia
Recorded Future Inc;"Americas
North America";North America
Royal Holdco Corp;"Americas
North America";North America
Toyo Engineering Corp;Japan;Asia
Cubes at Country Club Hills;"Americas
North America";North America
MAG US Holding Inc;"Americas
North America";North America
Tranzonic Cos;"Americas
North America";North America
Sports Gear Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Oriental Shiraishi Corp;Japan;Asia
Seasons Development Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tongda Group Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Carmax Inc;"Americas
North America";North America
DFG-Chapel Hill LLC;"Americas
North America";North America
Digital Turbine Inc;"Americas
North America";North America
MGI International Ltd;"Americas
North America";North America
Secretariat Advisors LLC;"Americas
North America";North America
US Venture Inc;"Americas
North America";North America
VativoRx LLC;"Americas
North America";North America
Mastech Digital Inc;"Americas
North America";North America
Gunnison Tree Svcs Inc;"Americas
North America";North America
H-Food Holdings LLC;"Americas
North America";North America
TPA Properties 31 LLC;"Americas
North America";North America
Signature at West Pryor;"Americas
North America";North America
CC Render Covington LP;"Americas
North America";North America
Pointe Condos LLC;"Americas
North America";North America
MMPA;"Americas
North America";North America
Modern Promise Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Alterra Renewable Hldg Corp;"Americas
North America";North America
PT Dexin Steel Indonesia;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Inn of Mountain Gods;"Americas
North America";North America
Aso Corp;Japan;Asia
Vortex Co Ltd;Japan;Asia
Mcp Shaw Acquisitionco LLC;"Americas
North America";North America
Coima Res SpA SIIQ;"Europe
Western Europe";Western Europe
Renew Solar Power Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
PT Kariangau Gapura Terminal;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
PT Adimitra Energi Hidro;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Cottontail Solar Hldg 1 LLC;"Americas
North America";North America
Chailease Intl Finl Svcs;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Lyric Fund II Acquisition Co I;"Americas
North America";North America
INK;"Eastern Europe
Europe";Central and Eastern Europe
Terrapact SPV 1 LLC;"Americas
North America";North America
Sequon LLC;"Americas
North America";North America
MEDHOST Inc;"Americas
North America";North America
Shandong Guotai Dacheng Tech;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Mitteldeutsche Flughafen AG;"Europe
Western Europe";Western Europe
FS Transmissora de Energia;"Americas
South America";Latin America
Simoes Transmissora de Energia;"Americas
South America";Latin America
Beacon Pointe Advisors LLC;"Americas
North America";North America
Piper Road Punta Gorda LLC;"Americas
North America";North America
Sterling Construction Co Inc;"Americas
North America";North America
Sustainable Power Corp;"Americas
North America";North America
Sycuan Band of Kumeyaay;"Americas
North America";North America
Volcan Cia Minera SAA;"Americas
South America";Latin America
Sun Ba Power Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jinxin Fertility Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Rich Gold Capital Inc;"Americas
Caribbean";Latin America
Kawakin Finance Co Ltd;Japan;Asia
Shinkong Intl Leasing Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Japan Freight Railway Co;Japan;Asia
Able Co Ltd;Japan;Asia
Chiyoda Air-Con Parts Co Ltd;Japan;Asia
SLR Investment Corp;"Americas
North America";North America
Vohra Wound Physicians Mgmt;"Americas
North America";North America
Continental 609 Fund LLC;"Americas
North America";North America
BRS Air Device US Holdings Inc;"Americas
North America";North America
Nissei Corp;Japan;Asia
Orient Corp;Japan;Asia
GAIA Co Ltd;Japan;Asia
ORIX Bank Corp;Japan;Asia
Xiamen Intl Invest Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
GoodWest Industries Inc;"Americas
North America";North America
Advocate Aurora Health Inc;"Americas
North America";North America
Supreme System Co Ltd;Japan;Asia
ECOM Agroindustrial Corp Ltd;"Europe
Western Europe";Western Europe
China Bldg Material Hldg Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Southwest Gas Corp;"Americas
North America";North America
Tram Di Firenze Scarl;"Europe
Western Europe";Western Europe
Green Gas Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Onnet Fibra Colombia SAS;"Americas
South America";Latin America
Shanghai Zhonghai Haihua Re;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hangzhou Binxing Industrial;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shonan Memorial Project Co Ltd;Japan;Asia
Ana Neo Inc;Japan;Asia
Shinwa Kankyo Co Ltd;Japan;Asia
Nihon Sangyo Co Ltd;Japan;Asia
Binhai Cnty Urban Renewal;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Odagaki Co Ltd;Japan;Asia
Nozawa Corp;Japan;Asia
Pakistan;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Sansei Technologies Inc;Japan;Asia
Daiichi Glass Co Ltd;Japan;Asia
Ippuukishi Holdings;Japan;Asia
Usrp Hldg Inc;"Americas
North America";North America
Glory Ltd;Japan;Asia
SMC Global Power Holdings Corp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Lasertec Corp;Japan;Asia
DAI-DAN Co Ltd;Japan;Asia
JVCKENWOOD Corp;Japan;Asia
Shye-Yao Steel Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Undertree Corp;Japan;Asia
Undertree Holdings Corp;Japan;Asia
Concentrix Corp;"Americas
North America";North America
Yamato Scientific Grp Hldg;Japan;Asia
FRG-X LP;"Americas
North America";North America
Subaru Corp;Japan;Asia
Honest Co Ltd;Japan;Asia
United Urban Investment Corp;Japan;Asia
Hashimoto Sangyou Co Ltd;Japan;Asia
Protein Chemical Co Ltd;Japan;Asia
Seminole Ridge Best Living;"Americas
North America";North America
Metalcraft of Mayville Inc;"Americas
North America";North America
Heartland Coca-Cola Bottling;"Americas
North America";North America
Asahi Trading Co Ltd;Japan;Asia
Vsp Optical Group Inc;"Americas
North America";North America
NHK SPRING Co Ltd;Japan;Asia
Mark Foods Inc;"Americas
North America";North America
Anlet Holdings Co Ltd;Japan;Asia
Madras Inc;Japan;Asia
Santoku Corp;Japan;Asia
Gloria Material Technology;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hy-Vee Inc;"Americas
North America";North America
Tokushukai Medical Corp;Japan;Asia
itsumo Inc;Japan;Asia
Kosaido Holdings Co Ltd;Japan;Asia
Suzuki Shokan Co Ltd;Japan;Asia
New Engen Inc;"Americas
North America";North America
Frieden;Japan;Asia
Kobe Mazda Co Ltd;Japan;Asia
Dongtai Huimin;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Mitsubishi HC Capital Inc;Japan;Asia
Guangdong Yangjiang Hailingwan;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Qingdao Hesheng Yutai Invest;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Suzhou Hongrunjingwei;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Zhangjiagang Jinhuafang;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kajima Corp;Japan;Asia
Cocomeister;Japan;Asia
Rakuten Group Inc;Japan;Asia
Senko Denki Co Ltd;Japan;Asia
Banshin Lease Co Ltd;Japan;Asia
Ssrm Holdings LLC;"Americas
North America";North America
FL Glaze LLC;"Americas
North America";North America
Siix EMS Mexico;"Americas
Central America";Latin America
Nobuta Enterprise Co Ltd;Japan;Asia
CRG Holdings Co Ltd;Japan;Asia
Sato Light Industrial Co Ltd;Japan;Asia
Teijin Holdings USA Inc;"Americas
North America";North America
Toyo Property Co Ltd;Japan;Asia
NSG Holdings Co Ltd;Japan;Asia
JERA Co Inc;Japan;Asia
2nd Seoul-Incheon Link;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Yokohama Metal Co Ltd;Japan;Asia
Miahelsa Corp;Japan;Asia
Maky Engineering Co Ltd;Japan;Asia
Morimoto Mfg Co Ltd;Japan;Asia
Toshima Mnfg Co Ltd;Japan;Asia
BALMUDA Inc;Japan;Asia
Fuji Seiki Co Ltd;Japan;Asia
Surf Beverage;Japan;Asia
KK Ashisuto;Japan;Asia
NIPPO Ltd;Japan;Asia
Ain Foods Co Ltd;Japan;Asia
Yasashiite Corp;Japan;Asia
Ebara Shoji Co Ltd;Japan;Asia
Yamuna Intl Airport Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Taiwan Broadband Commun Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Oaklands Hill Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
West Energy Solution Inc;Japan;Asia
Shin Nippon Yakugyo Co Ltd;Japan;Asia
JCB Co Ltd;Japan;Asia
Aruhi Corp;Japan;Asia
Dijet Industrial Co Ltd;Japan;Asia
Chemtrade Logistics Inc;"Americas
North America";North America
Cerner Corp;"Americas
North America";North America
Sheng Feng Power Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Bain Capital Specialty Finance;"Americas
North America";North America
Just Eat Takeaway.Com NV;"Europe
Western Europe";Western Europe
Daisyo Corp;Japan;Asia
Neo Holdings;Japan;Asia
Gakken Holdings Co Ltd;Japan;Asia
VEON Ltd;"Europe
Western Europe";Western Europe
JERA Barossa;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Suzhou Wujiang Ruize Re Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hangzhou Liangyun Shulan Hosp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Yiwu Binmao Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Shanghai Jinyong Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Bernis Marine Corp;"Europe
Western Europe";Western Europe
Hokkaido Dairy Products Co Ltd;Japan;Asia
Heiwa Auto Co Ltd;Japan;Asia
VPET USA Inc;"Americas
North America";North America
F&P MFG de Mexico SA de CV;"Americas
Central America";Latin America
Turkcell Iletisim Hizmetleri;"Europe
Eastern Europe";Central and Eastern Europe
Fairstone;Japan;Asia
Fushiman Co Ltd;Japan;Asia
Century Aluminum Co;"Americas
North America";North America
Boutique Linus Inc;"Americas
North America";North America
Lightstream Resources Ltd;"Americas
North America";North America
Manna Pro Products LLC;"Americas
North America";North America
WP CityMD Bidco LLC;"Americas
North America";North America
TMI Holdco Ltd;"Europe
Western Europe";Western Europe
Knight Health Holdings LLC;"Americas
North America";North America
UnitedHealth Group Inc;"Americas
North America";North America
American Iron & Metal Co Inc;"Americas
North America";North America
Hui Xian Investment Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Vanke Real Estate (HK) Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Nice Enterprise Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Halozyme Therapeutics Inc;"Americas
North America";North America
Viejas Band;"Americas
North America";North America
Fimc Partners LP;"Americas
North America";North America
ESH Monument LLC;"Americas
North America";North America
True Homes Llc;"Americas
North America";North America
Intl Wire Grp Hldg Inc;"Americas
North America";North America
Crest Ins Grp;"Americas
North America";North America
US Med-Equip Inc;"Americas
North America";North America
Cameron Ashley Building Prods;"Americas
North America";North America
Inversiones CrediQ Business SA;"Americas
Central America";Latin America
SBLP Princeton LLC;"Americas
North America";North America
Amplifon SpA;"Europe
Western Europe";Western Europe
Batisante SA;"Europe
Western Europe";Western Europe
Health Connect America Inc;"Americas
North America";North America
JX Holdings;Japan;Asia
CPF Investment Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
CWT Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Re Barren Ridge 2 Holdings LLC;"Americas
North America";North America
Ring & Pinion Service Inc;"Americas
North America";North America
Bcore Hillside LLC;"Americas
North America";North America
Coima Core Fund I;"Europe
Western Europe";Western Europe
REINTEL;"Europe
Western Europe";Western Europe
Energias Renovables Ibermap SL;"Europe
Western Europe";Western Europe
European Beauty Services SL;"Europe
Western Europe";Western Europe
Fibercorp;"Europe
Western Europe";Western Europe
Forum Group Inc;"Americas
North America";North America
Government of India;"Asia-Pacific (ex Central Asia)
South Asia";Asia
96 MW Gokcen Wind Power;"Europe
Eastern Europe";Central and Eastern Europe
Ten Trails Owner LP;"Americas
North America";North America
Huguenot Property Owner II LLC;"Americas
North America";North America
Guangdong Yuedian Binhaiwan;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Weifang Binhai Dongsheng;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Limited Liability Co Flugel;Japan;Asia
S Boudrias Horticole Inc;"Americas
North America";North America
Keywords Studios PLC;"Europe
Western Europe";Western Europe
Okada Works Co Ltd;Japan;Asia
Refresh Buyer LLC;"Americas
North America";North America
Medway Rosco;"Europe
Western Europe";Western Europe
Rental Equipment Investment;"Americas
North America";North America
North Haven Stallone Buyer LLC;"Americas
North America";North America
SK Ecoplant Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Newteam LLC;"Americas
North America";North America
Vivify Merger Sub I LLC;"Americas
North America";North America
Relation Co Ltd;Japan;Asia
Mitsubishi Corp;Japan;Asia
Normet Oy;"Europe
Western Europe";Western Europe
Safaricom Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Iskay Pet SL;"Europe
Western Europe";Western Europe
Concert Golf Partners Holdco;"Americas
North America";North America
Sport Maska Inc;"Americas
North America";North America
Standard Hidraulica SAU;"Europe
Western Europe";Western Europe
Smile Doctors LLC;"Americas
North America";North America
Mobile Commun America Inc;"Americas
North America";North America
Solara4 SA;"Europe
Western Europe";Western Europe
San Davide Pv;"Europe
Western Europe";Western Europe
Renesas Electronics Corp;Japan;Asia
Routin Sasu;"Europe
Western Europe";Western Europe
J&L Ventures LLC;"Americas
North America";North America
Perusahaan Listrik Negara PT;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Asia Cube Global Commun Ltd;"Americas
North America";North America
Nadg;"Americas
North America";North America
Cheng Loong Binh Duong Paper;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Southwestern Energy Co;"Americas
North America";North America
FleetCor Technologies Inc;"Americas
North America";North America
Books-A-Million Inc;"Americas
North America";North America
Burlington Coat Factory;"Americas
North America";North America
AGV Products Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Atalanta Corp;"Americas
North America";North America
Casella Waste Systems Inc;"Americas
North America";North America
Shin Nihonkai Ferry Co Ltd;Japan;Asia
Mitsui Chemicals Inc;Japan;Asia
Tomoku Co Ltd;Japan;Asia
Agnico Eagle Mines Ltd;"Americas
North America";North America
DTE Energy Co;"Americas
North America";North America
Entergy Louisiana Holdings Inc;"Americas
North America";North America
Realterm Logistics Income;"Americas
North America";North America
Hollingsworth & Vose Co;"Americas
North America";North America
Salas O'Brien Holdings Inc;"Americas
North America";North America
IMC Holding LLC;"Americas
North America";North America
Tokyo Century Corp;Japan;Asia
Aqua Star;"Americas
North America";North America
FNLI Par Avion LLC;"Americas
North America";North America
Hi-Tech Corp(Citation Corp);"Americas
North America";North America
DiversiTech Holdings Inc;"Americas
North America";North America
Stanbic IBTC Bank PLC;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Rlty Assoc Fund XII Portfolio;"Americas
North America";North America
APEX Analytix LLC;"Americas
North America";North America
Beverage Marketing USA Inc;"Americas
North America";North America
Brewster Home Fashions LLC;"Americas
North America";North America
Sclp I Holdco Llc;"Americas
North America";North America
Aurora Guardian Holdco II Co;"Americas
North America";North America
J&J Maintenance Inc;"Americas
North America";North America
ZS Associates Inc;"Americas
North America";North America
Transit Wireless LLC;"Americas
North America";North America
SimonMed Inc;"Americas
North America";North America
Belluna Co Ltd;Japan;Asia
Church & Dwight Co Inc;"Americas
North America";North America
SitusAMC Holdings Corp;"Americas
North America";North America
Grupo Cydsa SAB de CV;"Americas
Central America";Latin America
Elenia Oy;"Europe
Western Europe";Western Europe
Raizen Fuels Finance SA;"Europe
Western Europe";Western Europe
Healthcare Activos Financing;"Europe
Western Europe";Western Europe
Magris Talc Holdings Inc;"Americas
North America";North America
DS Green Hatsuden Kai;Japan;Asia
Deutscher;"Europe
Western Europe";Western Europe
Novosibirsk Infectious;"Eastern Europe
Europe";Central and Eastern Europe
Scout Energy Grp Iii Lp;"Americas
North America";North America
Scout Energy Partners Iii-A LP;"Americas
North America";North America
Centella Transmision Sa;"Americas
South America";Latin America
Edge Apartments Llc;"Americas
North America";North America
Ibancar World SL;"Europe
Western Europe";Western Europe
Scout Energy Partners Iv;"Americas
North America";North America
Sirius Pv;"Europe
Western Europe";Western Europe
Camus La Grande Marque Sa;"Europe
Western Europe";Western Europe
Shanghai Huakang Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Hain Celestial Group Inc;"Americas
North America";North America
The Irvine Co LLC;"Americas
North America";North America
Helios Investments Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Airtel Uganda Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Spherix Global Inc;"Americas
North America";North America
Valudor Products LLC;"Americas
North America";North America
Financiere Grande Corniche;"Europe
Western Europe";Western Europe
Scaffco 2022;"Europe
Western Europe";Western Europe
SIMMTECH GRAPHICS Co Ltd;Japan;Asia
Hldgelskabet Af 18 September;"Europe
Western Europe";Western Europe
New Gold Inc;"Americas
North America";North America
OSI Systems Inc;"Americas
North America";North America
Hightower Holding;"Americas
North America";North America
Ross River Operations Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
InsideRE Holdings LLC;"Americas
North America";North America
Oterra;"Europe
Western Europe";Western Europe
IBV Solar Pks BV;"Eastern Europe
Europe";Central and Eastern Europe
Palex Medical SA;"Europe
Western Europe";Western Europe
Polaris Inc;"Americas
North America";North America
PT Profesional Telekomunikasi;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Schnellecke Group AG & Co KG;"Europe
Western Europe";Western Europe
Christiana;"Europe
Western Europe";Western Europe
Avanos Medical Inc;"Americas
North America";North America
Fresh Dining Concepts LLC;"Americas
North America";North America
Alacrity Solutions Group Inc;"Americas
North America";North America
AiiA Corp;Japan;Asia
P3 Group SARL;"Europe
Western Europe";Western Europe
Usn Opco Llc;"Americas
North America";North America
Formosa Plastics Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
SDL II Finance I LP;"Americas
North America";North America
Bestway (Hong Kong) Intl Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Freeport LNG Investments LLLP;"Americas
North America";North America
African Export-Import Bank;"Africa/Middle East/Central Asia
North Africa";Africa
Authentic Brands Group LLC;"Americas
North America";North America
National Mentor Holdings Inc;"Americas
North America";North America
Square Co Ltd;Japan;Asia
Kellogg Co;"Americas
North America";North America
Jo-Ann Stores LLC;"Americas
North America";North America
Kaohsiung Arena Development;"Asia-Pacific (ex Central Asia)
North Asia";Asia
ShawCor Ltd;"Americas
North America";North America
American CyberSystems Inc;"Americas
North America";North America
Benchmark Electronics Inc;"Americas
North America";North America
SoftBank Corp;Japan;Asia
CCM Merger Inc;"Americas
North America";North America
AFT Co Ltd;Japan;Asia
MCREF SFR 1 CODDLE CREEK LLC;"Americas
North America";North America
City of Osaka;Japan;Asia
George's Inc;"Americas
North America";North America
Hudson Pacific Properties Inc;"Americas
North America";North America
Thompsons Gas & Electric;"Americas
North America";North America
Bentley Systems Inc;"Americas
North America";North America
FerryFret;"Europe
Western Europe";Western Europe
Controlled Products LLC;"Americas
North America";North America
Keystone Agency Investors;"Americas
North America";North America
SEEK Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
A-Mark Precious Metals Inc;"Americas
North America";North America
Carbios SA;"Europe
Western Europe";Western Europe
Cia Minera Dona Ines De;"Americas
South America";Latin America
Copart Inc;"Americas
North America";North America
Sovcombank PJSC;"Eastern Europe
Europe";Central and Eastern Europe
Nantong Yinding Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Goertek Precision Ind Vietnam;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Sre Pv Financing;"Africa/Middle East/Central Asia
Middle East";Africa
Core Tucson Main Gate Llc;"Americas
North America";North America
Core Lexington 685 Limestone;"Americas
North America";North America
Ot Block A-1 Sub Llc;"Americas
North America";North America
Rlgh Fin Bermuda Ltd;"Americas
Caribbean";Latin America
Red Cedar Hotel Hldg Llc;"Americas
North America";North America
